	exp1	exp2	exp3	exp4	exp5	exp6	exp7	exp8	exp9	exp10	exp13	exp14	exp15	exp16	exp17	exp18	exp19	exp20	exp21
-0.5																			
-0.45																			
-0.4																			
-0.35																			
-0.3																			
-0.25																			
-0.2																1			
-0.15																1			
-0.1																1			
-0.05									1				6	6	2	1			
0					1				2				8	8	2	1			
0.05					1		4	1	4				6	6	3	1			
0.1					2	3	4	1	7			2			4	1			
0.15			1		3	7	4	1	4		1	3			5	1		2	1
0.2		1	1		7	7	5	1	2		1	5			4	1		3	4
0.25		3	7		3	3	3		1		3	6				4		3	8
0.3		7	6	1	2					1	8	2				4		4	4
0.35		6	2	2	1					2	6	1				4		5	2
0.4		3	2	9						3	1	1						3	1
0.45			1	7						5									
0.5				1						9									
