	exp1	exp2	exp3	exp4	exp5	exp6	exp7	exp8	exp9	exp10	exp13	exp14	exp15	exp16	exp17	exp18	exp19	exp20	exp21
0																			
0.05				7				1											
0.1			1	10	1			1			1								
0.15			1	2	1	3	1	1		3	2								
0.2			3	1	1	5	1	1		4	3								
0.25		4	6		2	7	4	1	1	6	4	1			2	1			
0.3		7	7		2	5	5	1	2	4	6	5			6	1			
0.35		5	2		7		5	1	5	3	2	4			6	1			7
0.4		3			3		2	1	4		2	3			5	1		1	9
0.45		1			2		1	1	3			3		6	1	1		2	4
0.5					1		1	1	2			2		7		1		2	
0.55								1	1			1		7		1		4	
0.6								1	1			1				1		6	
0.65									1							1		4	
0.7													4			4		1	
0.75													5			4			
0.8													6			1			
0.85													5			1			
0.9																1			
0.95																			
1																			
