num	expname	exnumb	nbdoc	nbped	nbpat	nbcortico	nbtrial	nbptendox	nbpatmmf	methodf	statf	endoxmean	endoxmin	endoxmax	mmfmean	mmfmin	mmfmax	deltamean	deltamin	deltamax	resul
1	ulihsui	1	15	10	150	100	0	0	60	1	1	0.15	0.05	0.25	0.6	0.5	0.85	0.35	0.25	0.45	
2	baudoun	2	21	21	250	200	23	20	60	0	0	0.3	0.2	0.5	0.65	0.6	0.85	0.3	0.15	0.45	1
3	boudiallhz	3	34	30	5	5	1	2	10	1	1	0.3	0.15	0.4	0.6	0.5	0.75	0.3	0.15	0.5	1
4	nobili	4	11	11	25	15	0	0	6	0	0	0.1	0.05	0.2	0.6	0.45	0.75	0.4	0.3	0.45	1
5	llanas	5	25	15	10	4	1	2	40	0	0	0.25	0.15	0.4	0.5	0.4	0.6	0.15	0.05	0.2	1
6	parascau	6	28	12	20	2	0	3	8	0	1	0.25	0.1	0.8	0.5	0.4	0.75	0.15	0.1	0.25	1
7	ecard	7	20	15	15	10	2	0	20	0	0	0.3	0.2	0.4	0.35	0.25	0.45	0.1	0.05	0.15	1
8	bourmat	8	22	20	40	27	0	0	20	0	0	0.6	0.45	0.8	0.8	0.65	0.85	0.2	0.1	0.25	1
9	dehennault	9	30	32	75	70	3	12	15	0	0	0.35	0.25	0.65	0.45	0.3	0.7	0.1	-0.05	0.25	1
10	guigonis	10	18	12	30	7	0	0	6	1	1	0.25	0.15	0.35	0.8	0.7	0.9	0.5	0.4	0.5	1
13	vrillon	13	5	7	70	50	3	11	22	0	0	0.35	0.1	0.45	0.6	0.45	0.75	0.3	0.15	0.4	1
14	roussey	14	10	7	20	15	3	4	10	1	1	0.3	0.2	0.6	0.6	0.3	0.8	0.3	0	0.4	1
15	pietrement	15	14	14	27	7	1	0	6	0	0	0.8	0.75	0.85	0.8	0.75	0.85	0	-0.05	0.05	2
16	taque	16	14	14	30	20	3	6	15	0	0	0.5	0.4	0.65	0.5	0.35	0.6	0	-0.05	0.1	2
17	broux	17	25	22	30	23	1	11	7	0	0	0.35	0.3	0.55	0.55	0.45	0.7	0.3	0.25	0.45	1
18	lavocat	18	25	20	5	4	0	0	10	0	0	0.8	0.7	0.9	0.9	0.85	0.95	0.3	0.25	0.35	1
19	fishchbach	19	34	34	15	10	0	5	30	1	0	0.5	0.3	0.7	0.5	0.3	0.7	0	-0.1	0.1	2
20	clocheville	20	18	18	40	35	3	1	15	0	0	0.6	0.4	0.7	0.8	0.65	0.9	0.3	0.1	0.35	1
21	decramer	21	20	20	140	80	4	3	50	1	0	0.25	0.15	0.3	0.5	0.4	0.6	0.25	0.2	0.4	1
