	exp1	exp2	exp3	exp4	exp5	exp6	exp7	exp8	exp9	exp10	exp13	exp14	exp15	exp16	exp17	exp18	exp19	exp20	exp21
0																			
0.05								1											
0.1								1											
0.15								1											
0.2							1	1											
0.25							3	1											
0.3					1	4	5	1	1			1							
0.35					1	5	5	1	2			1							
0.4			1		1	5	4	1	3			2							
0.45			2	1	3	4	2	1	5			3		7	1				
0.5			2	2	7	2		1	3		1	3		7	4				
0.55			2	3	2			1	3		2	4		6	6				5
0.6		5	5	6	2			1	1		3	4			5				9
0.65		7	4	4	1			1	1		8	2			4				6
0.7		4	2	3	1			1	1	1	5		4					2	
0.75		4	1	1	1			1		5	1		5			1		5	
0.8			1					1		8			6			6		9	
0.85								1		5			5			6		4	
0.9										1						6			
0.95																1			
1																			
